m,k,d,t,least_error
1,7,1000,0,2.930988785010413e-14
1,6,1000,1,0.0
1,6,1000,2,1.887379141862766e-14
1,7,1000,3,3.175237850427948e-14
1,5,1000,4,1.9317880628477724e-14
1,6,2000,0,1.0502709812953981e-11
1,7,2000,1,3.5083047578154947e-14
1,6,2000,2,7.205991359171549e-11
1,6,2000,3,3.3084646133829665e-14
1,6,2000,4,9.050538096744276e-13
1,7,4000,0,2.587263736586465e-12
1,6,4000,1,1.199040866595169e-14
1,6,4000,2,1.1546319456101628e-14
1,6,4000,3,1.8489654252107357e-12
1,6,4000,4,1.509903313490213e-14
1,6,8000,0,3.352873534367973e-14
1,6,8000,1,2.5493829269862545e-11
1,6,8000,2,1.7763568394002505e-15
1,6,8000,3,2.7533531010703882e-14
1,6,8000,4,4.3787196091216174e-13
1,5,16000,0,5.10702591327572e-15
1,6,16000,1,1.021405182655144e-14
1,8,16000,2,4.3809400551708677e-13
1,6,16000,3,2.4424906541753444e-13
1,10,16000,4,2.220446049250313e-16
1,5,32000,0,2.220446049250313e-16
1,5,32000,1,1.3322676295501878e-15
1,6,32000,2,8.282263763703668e-14
1,6,32000,3,1.0789147353307271e-12
1,6,32000,4,6.039613253960852e-14
1,7,64000,0,0.0
1,6,64000,1,5.977440764581843e-13
1,5,64000,2,2.220446049250313e-16
1,7,64000,3,0.0
1,5,64000,4,8.881784197001252e-16
