d,dstop,train_loss_orig,test_loss_orig,train_loss_cp,test_loss_cp
128,90,0.0004654934455174953,0.0018245496321469545,0.0005650466191582382,0.0024547495413571596
256,128,0.00045219907769933343,0.0008948405156843364,0.00039178013685159385,0.001305879675783217
512,181,0.0011384115787222981,0.0014942740090191364,0.0009120345930568874,0.001664707320742309
1024,256,0.0020652120001614094,0.002898530103266239,0.0020948080345988274,0.002887392183765769
2048,362,0.002423299243673682,0.0023607618641108274,0.0025758289266377687,0.0024597595911473036
4096,512,0.0023042168468236923,0.0024933789391070604,0.002191591076552868,0.002454468049108982
8192,724,0.002372675109654665,0.0022969895508140326,0.00229005329310894,0.0022707409225404263
16384,1024,0.001933098305016756,0.002302240114659071,0.002276789164170623,0.0023250163067132235
32768,1448,0.0020812719594687223,0.002254112623631954,0.002178448485210538,0.0022896721493452787
65536,2048,0.0022954908199608326,0.002266945317387581,0.0022342782467603683,0.0022598542273044586
131072,2896,0.002181342104449868,0.002208852209150791,0.0022849468514323235,0.00219124392606318
