d,test_loss_orig,test_loss_cp
0,0.025841591879725456,0.025956176221370697
10,0.0027610992547124624,0.002898460952565074
20,0.002880222862586379,0.003034585155546665
30,0.0029637417756021023,0.0030539354775100946
40,0.003132948651909828,0.0031403382308781147
50,0.003348275553435087,0.003342641983181238
60,0.0034170635044574738,0.003497133497148752
70,0.0033128191716969013,0.0034498556051403284
80,0.0031572848092764616,0.003377526765689254
90,0.0031100506894290447,0.0033293936867266893
100,0.002921297214925289,0.0030858339741826057
110,0.0023946205619722605,0.0024719364009797573
120,0.002104976447299123,0.0021789902821183205
130,0.0018866679165512323,0.002016230719164014
140,0.001509328605607152,0.0015960843302309513
150,0.0017676976276561618,0.0018046428449451923
160,0.00159242725931108,0.0016838253941386938
170,0.001050127437338233,0.0011670085368677974
180,0.0008933884673751891,0.0009898343123495579
190,0.0006595377344638109,0.0007538029458373785
200,0.0006284107803367078,0.0007229667389765382
